candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
804,1318,trans_M2,000652,6,0,16,0,0.6657460399999999,1.0609800621927048,0.6657460399999999
805,2403,trans_M3,000824,2,3,13,4,0.66518868,1.4340757300245985,0.66518868
806,988,trans_M1,001978,2,1,8,4,0.6643444799999999,0.5508136641922308,0.6643444799999999
807,1958,trans_M2,001925,2,0,8,4,0.6636612399999999,0.35255594097476406,0.6636612399999999
808,1346,trans_M2,000697,5,0,17,0,0.66333164,0.728314323212234,0.66333164
809,1349,trans_M2,000708,5,0,19,0,0.6633110799999999,0.830922053796343,0.6633110799999999
810,350,trans_M1,000697,5,0,17,0,0.66264404,0.728314323212234,0.66264404
811,2332,trans_M3,000677,6,0,19,0,0.66248524,0.9831676953693183,0.66248524
812,1242,trans_M2,000501,3,4,5,15,0.6621464800000001,1.423886988182477,0.6621464800000001
813,2487,trans_M3,000984,1,1,7,14,0.6612,0.7633396524162139,0.6612
814,1316,trans_M2,000648,5,0,17,0,0.6602977200000001,0.6252986843388233,0.6602977200000001
815,2490,trans_M3,000989,1,5,11,18,0.6598,2.161984387697169,0.6598
816,734,trans_M1,001464,1,0,2,13,0.6596,0.37882711974662586,0.6596
817,1506,trans_M2,001017,1,2,10,14,0.6594,1.3317539461036516,0.6594
818,2502,trans_M3,001017,1,2,8,11,0.6586,1.3006053924579657,0.6586
819,361,trans_M1,000724,5,0,16,1,0.6580278399999999,0.7290925599113072,0.6580278399999999
820,2677,trans_M3,001366,2,0,7,3,0.65534064,0.323998383682459,0.65534064
821,953,trans_M1,001907,2,0,9,4,0.65497624,0.35244811130041453,0.65497624
822,233,trans_M1,000479,2,0,10,5,0.6542,0.36580158933471524,0.6542
823,1225,trans_M2,000473,2,1,14,6,0.65352992,0.45937505850159044,0.65352992
824,2725,trans_M3,001464,1,0,2,13,0.6526,0.2980505757006123,0.6526
825,1695,trans_M2,001392,1,0,5,2,0.6486326,0.1422141647292344,0.6486326
