candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
660,1343,trans_M2,000688,5,0,15,1,0.72171728,0.8284959484616015,0.7751066142308007
661,825,trans_M1,001641,2,1,8,5,1.10340716,0.44650335951962733,0.7749552597598136
662,1482,trans_M2,000965,1,5,4,7,0.19343639999999998,1.3561554987730151,0.7747959493865075
663,1818,trans_M2,001637,2,1,9,5,1.10021296,0.4486276194359943,0.774420289717997
664,1334,trans_M2,000672,4,0,17,2,0.5997164,0.9486373660506363,0.7741768830253182
665,313,trans_M1,000634,5,0,17,0,0.4507486400000001,1.0970955907170215,0.7739221153585107
666,1393,trans_M2,000802,4,0,13,5,0.6174000000000001,0.9304105503899892,0.7739052751949946
667,666,trans_M1,001327,3,1,8,2,0.93195424,0.6142524766133065,0.7731033583066533
668,668,trans_M1,001329,3,2,10,3,0.8131999999999999,0.7319342887430285,0.7725671443715142
669,2420,trans_M3,000856,3,2,7,5,1.0476573200000001,0.49712828909369855,0.7723928045468493
670,500,trans_M1,000993,3,1,10,17,0.53107624,1.0122347036246564,0.7716554718123282
671,327,trans_M1,000659,5,0,19,0,0.5597949600000001,0.982530099803576,0.771162529901788
672,1362,trans_M2,000731,5,0,17,1,0.8754052400000001,0.6650777805632441,0.770241510281622
673,826,trans_M1,001642,2,2,9,5,0.8934932800000001,0.6463177090266305,0.7699054945133152
674,828,trans_M1,001646,2,1,9,6,1.09091104,0.4488174753169143,0.7698642576584571
675,1398,trans_M2,000812,2,2,11,2,0.3644,1.1743678239139612,0.7693839119569806
676,408,trans_M1,000820,2,2,15,3,0.0194,1.519002910750658,0.769201455375329
677,1817,trans_M2,001635,2,1,8,6,1.09020752,0.4476940459718234,0.7689507829859117
678,497,trans_M1,000988,1,4,7,20,0.17518223999999996,1.3613617866238195,0.7682720133119098
679,2798,trans_M3,001609,2,2,3,15,0.6868000000000001,0.8491928693613012,0.7679964346806507
680,1856,trans_M2,001711,3,1,8,3,0.8982342000000001,0.6370573947028273,0.7676457973514137
681,1462,trans_M2,000933,1,2,3,7,0.78463392,0.7502282536235833,0.7674310868117916
